"Địa điểm","MÃ","TÊN TOUR","DANH MỤC TOUR","THỜI GIAN","PHƯƠNG TIỆN","GIÁ NGƯỜI LỚN","GIÁ TRẺ EM","MÔ TẢ NGẮN","LỊCH TRÌNH","BAO GỒM","KHÔNG BAO GỒM","TỪ KHÓA","ĐIỀU KHOẢN","ẢNH TOUR"
"","HL03","Hạ Long - Yêu Thương Đảo Cát Bà 3N2Đ","Tour Miền Bắc","3 ngày 2 đêm","Xe ô tô & Phà/Tàu cao tốc","3.150.000 đ","2.350.000 đ","Kết hợp khám phá vẻ đẹp kỳ vĩ của Vịnh Hạ Long và không gian hoang sơ xanh mát của Đảo Cát Bà.","N1: Hà Nội - Hạ Long - Vịnh Hạ Long - Cát Bà (Ăn T/T). N2: Vườn quốc gia Cát Bà - Đảo Khỉ - Vịnh Lan Hạ (Ăn S/T/T). N3: Tự do tắm biển Cát Cò - Về Hà Nội (Ăn S/T).","Xe vận chuyển, KS 3 sao tại Cát Bà, thuyền thăm Vịnh Lan Hạ, các bữa ăn, HDV.","Vé cáp treo Cát Bà (nếu đi), thuế VAT, tiền tip.","ha long, cat ba, lan ha, dao khi, tour 3n2d","Trẻ em <5t miễn phí; Hủy trước 5 ngày phạt 50%.","hl03-1.jfif
hl03-2.jpg"
"","HL04","Hạ Long: Chèo Kayak Khám Phá Vịnh Bái Tử Long 1 Ngày","Tour Miền Bắc","1 ngày","Xe ô tô & Tàu gỗ/Kayak","950.000 đ","700.000 đ","Chuyến hành trình trải nghiệm chèo thuyền kayak khám phá vùng biển yên bình Vịnh Bái Tử Long.","07:30: Đón tại Hạ Long/Hà Nội. 10:00: Lên tàu di chuyển ra Vịnh Bái Tử Long. 11:30: Ăn trưa hải sản. 13:00: Chèo thuyền Kayak tham quan hang động và làng chài Vung Viêng. 16:30: Trả khách.","Tàu thăm vịnh, thuyền kayak chuyên dụng, ăn trưa, vé danh thắng, HDV.","Chi phí đưa đón ngoài điểm hẹn, đồ uống, thuế VAT.","ha long, bai tu long, cheo kayak, vung vieng, tour 1 ngay","Trẻ em <5t miễn phí; Hủy trước 24h phạt 50%.","hl04-1.jpg
hl04-2.jpeg"
"HÀ GIANG","HG01","Hà Giang: Hùng Vĩ Công Viên Đá - Mã Pí Lèng 3N2Đ","Tour Miền Bắc","3 ngày 2 đêm","Xe ô tô du lịch","2.850.000 đ","2.100.000 đ","Hành trình chinh phục những con đèo ngoằn ngoèo, ngắm nhìn hẻm vực Tu Sản và sông Nho Quế xanh ngọc bích.","N1: Hà Nội - Quản Bạ - Núi Đôi - Yên Minh (Ăn T/T). N2: Cột cờ Lũng Cú - Dinh họ Vương - Đèo Mã Pí Lèng - Sông Nho Quế (Ăn S/T/T). N3: Đồng Văn - TP. Hà Giang - Hà Nội (Ăn S/T).","Xe giường nằm/xe du lịch, KS 2-3 sao/Homestay, các bữa ăn tiêu chuẩn, vé thắng cảnh, thuyền Nho Quế, HDV.","Đồ uống ngoài chương trình, thuế VAT, tiền tip cho HDV và lái xe.","ha giang, dong van, ma pi leng, song nho que, tour 3n2d","Trẻ em <5t miễn phí; Hủy trước 5 ngày phạt 50%.","hg01-1.jpg
hg01-2.jpg"
"","HG02","Hà Giang Motorbike Tour: Trải Nghiệm Phượt Cùng XE ÔM 3N2Đ","Tour Miền Bắc","3 ngày 2 đêm","Xe máy (Có xế lái riêng)","3.650.000 đ","Không áp dụng (<12t)","Trải nghiệm ngồi sau xe máy cùng tài xế bản địa uốn lượn trên những cung đường đèo đẹp nhất Việt Nam.","N1: Hà Nội đi xe giường nằm đêm tới Hà Giang. 08:00 Lên xe máy: Quản Bạ - Yên Minh (Ăn S/T/T). N2: Đồng Văn - Mã Pí Lèng - Chèo thuyền Nho Quế - Mèo Vạc (Ăn S/T/T). N3: Mèo Vạc - TP Hà Giang - Lên xe giường nằm về Hà Nội (Ăn S/T).","Xe máy + xăng xe + xế lái riêng kinh nghiệm, giáp bảo hộ, Homestay, ăn uống trọn gói, vé thắng cảnh.","Chi phí cá nhân, đồ uống có cồn, thuế VAT, tiền tip cho xế xế.","ha giang, motorbike tour, xe om ban dia, nho que, tour 3n2d","Chỉ nhận khách từ 12 tuổi trở lên; Hủy trước 3 ngày phạt 50%.","hg02-1.jpg
hg02-2.jpg"
"","HG03","Hà Giang: Mùa Hoa Tam Giác Mạch - Đồng Văn 2N1Đ","Tour Miền Bắc","2 ngày 1 đêm","Xe ô tô du lịch","1.950.000 đ","1.450.000 đ","Tour săn hoa tam giác mạch ngập tràn sắc hồng nhạt trên cao nguyên đá Đồng Văn.","N1: Hà Nội - Quản Bạ - Cột cờ Lũng Cú - Ngủ Đồng Văn (Ăn T/T). N2: Phố cổ Đồng Văn - Thung lũng Sủng Là (Nhà của Pao) - Về Hà Nội (Ăn S/T).","Xe đưa đón, KS/Homestay tại Đồng Văn, vé vào cổng các điểm hoa tam giác mạch, các bữa ăn, HDV.","Thuyền sông Nho Quế (nếu tự đi), thuế VAT, tiền tip.","ha giang, tam giac mach, lung cu, sung la, tour 2n1d","Trẻ em <5t miễn phí; Hủy trước 3 ngày phạt 50%.","hg03-2.jpg
hg03-1.jpg"
"","HG04","Hà Giang: Khám Phá Hoàng Su Phì Mùa Nước Đổ 2N1Đ","Tour Miền Bắc","2 ngày 1 đêm","Xe ô tô / Xe 16 chỗ","2.100.000 đ","1.550.000 đ","Chiêm ngưỡng kiệt tác ruộng bậc thang Hoàng Su Phì mùa nước đổ lung linh như những bức tranh mạ bạc.","N1: Hà Nội - Hoàng Su Phì - Thăm bản Phùng - Ngủ Homestay (Ăn T/T). N2: Săn mây Bản Luốc - Ngắm ruộng bậc thang mùa nước đổ - Về Hà Nội (Ăn S/T).","Xe du lịch, Homestay người Dzao/Tày, các bữa ăn đậm chất vùng cao, vé tham quan, HDV.","Chi phí xe xe ôm lên bản sâu (nếu đường lầy), thuế VAT, chi phí cá nhân.","ha giang, hoang su phi, mua nuoc do, ruong bac thang, tour 2n1d","Trẻ em <5t miễn phí; Hủy trước 3 ngày phạt 50%.","hg04-1.jpg
hg04-2.jpg"
"HUẾ","HUE01","Huế: Cố Đô Cổ Kính - Trải Nghiệm Ca Trù Sông Hương 1 Ngày","Tour Miền Trung","1 ngày","Xe ô tô & Thuyền rồng","750.000 đ","550.000 đ","Đưa du khách ngược dòng lịch sử ghé thăm Đại Nội Huế, các lăng vua Triều Nguyễn và nghe ca Huế trên sông Hương.","08:00: Đón tại KS Huế. 08:30: Đại Nội Huế (Ngọ Môn, Điện Thái Hòa). 10:30: Chùa Thiên Mụ. 12:00: Ăn trưa đặc sản Huế. 13:30: Lăng Khải Định & Lăng Tự Đức. 16:30: Kết thúc.","Xe đưa đón, vé tham quan Đại Nội và các Lăng, ăn trưa đặc sản, HDV, nước uống.","Vé thuyền ca Huế đêm (nếu mua thêm), thuế VAT, tiền tip, chi phí cá nhân.","hue, dai noi, lang khai dinh, chua thien mu, tour 1 ngay","Trẻ em <5t miễn phí; Hủy trước 24h phạt 30%.","hue01-1.jpg
hue01-2.jpeg"
"","HUE02","Huế: Khám Phá Vườn Quốc Gia Bach Mã 1 Ngày","Tour Miền Trung","1 ngày","Xe ô tô du lịch / Xe 16 chỗ","680.000 đ","500.000 đ","Trải nghiệm trekking nhẹ nhàng khám phá hệ sinh thái đa dạng, Vọng Hải Đài và Thác Đỗ Quyên tại Bạch Mã.","07:30: Xe đón đi VQG Bạch Mã. 09:30: Thăm Hải Vọng Đài ngắm toàn cảnh lagoon. 11:30: Picnic ăn trưa bên suối. 13:30: Khám phá Ngũ Hồ & Thác Đỗ Quyên. 16:30: Về lại Huế.","Xe vận chuyển, vé tham quan VQG Bạch Mã, bữa ăn trưa picnic, HDV trekking chuyên tuyến.","Chi phí cá nhân, đồ uống, thuế VAT, tiền tip.","hue, bach ma, vong hai dai, thac do quyen, tour 1 ngay","Trẻ em <5t không khuyến khích; Hủy trước 24h phạt 50%.","hue02-1.jpg
hue02-2.webp"
"","HUE03","Huế: Trải Nghiệm Đầm Lập An - Vịnh Lăng Cô 1 Ngày","Tour Miền Trung","1 ngày","Xe ô tô du lịch","600.000 đ","450.000 đ","Đón gió biển tuyệt đẹp tại Vịnh Lăng Cô và check-in ảo diệu tại ""tuyệt tình cốc"" Đầm Lập An.","08:00: Đón tại trung tâm Huế đi Lăng Cô. 09:30: Thăm Đầm Lập An, chụp ảnh cầu gỗ dài ra biển. 12:00: Ăn trưa hải sản tại Vịnh Lăng Cô. 14:00: Tự do tắm biển Lăng Cô. 16:30: Trả khách về Huế.","Xe đưa đón, ăn trưa hải sản, vé tham quan, HDV, bảo hiểm du lịch.","Chi phí thuê đồ bơi, đồ uống ngoài chương trình, thuế VAT.","hue, lang co, dam lap an, tour 1 ngay","Trẻ em <5t miễn phí; Hủy trước 24h phạt 20%.","hue03-1.webp
hue03-2.jpg"
"","HUE04","Huế - Quảng Bình: Thăm Động Phong Nha & Động Thiên Đường 2N1Đ","Tour Miền Trung","2 ngày 1 đêm","Xe ô tô du lịch","2.250.000 đ","1.650.000 đ","Chuyến đi kết hợp khám phá kinh đô xưa và các hang động đá vôi độc đáo đạt kỷ lục thế giới tại Quảng Bình.","N1: Huế - Quảng Bình - Động Phong Nha - Ngủ Đồng Hới (Ăn T/T). N2: Động Thiên Đường - Nghĩa trang Đường 9 - Tiễn về Huế (Ăn S/T).","Xe du lịch đời mới, KS 3 sao, vé tham quan Động Phong Nha + Thiên Đường, xe điện, thuyền, các bữa ăn, HDV.","Chi phí cá nhân, đồ uống phát sinh, thuế VAT, tiền tip.","hue, quang binh, phong nha, thien duong, tour 2n1d","Trẻ em <5t miễn phí; Hủy trước 3 ngày phạt 50%.","hue04-1.jpg
hue04-2.jpg"
"CẦN THƠ","CT01","Cần Thơ: Chợ Nổi Cái Răng - Cồn Sơn Sông Hậu 1 Ngày","Tour Miền Nam","1 ngày","Xe ô tô & Tàu thuyền","650.000 đ","450.000 đ","Khám phá văn hóa sông nước đặc trưng tại Chợ nổi Cái Răng và thưởng thức trái cây miệt vườn tại Cồn Sơn.","05:30: Thuyền đón tại bến Ninh Kiều đi Chợ Nổi Cái Răng. 07:00: Ăn sáng hủ tiếu ghe. 08:30: Di chuyển sang Cồn Sơn xem cá lóc bay. 12:00: Ăn trưa miệt vườn. 15:00: Trả khách.","Tàu du lịch thăm sông, vé Cồn Sơn, ăn sáng + ăn trưa miệt vườn, trái cây, HDV.","Chi phí làm bánh dân gian tự túc, thuế VAT, tiền tip.","can tho, cho noi cai rang, con son, ca loc bay, tour 1 ngay","Trẻ em <5t miễn phí; Hủy trước 24h phạt 20%.","ct01-1.jpg
ct01-2.jpg"
"","CT02","Cần Thơ - Mỹ Tho - Bến Tre - Châu Đốc 3N2Đ","Tour Miền Nam","3 ngày 2 đêm","Xe ô tô & Tàu vỏ lãi","2.750.000 đ","1.950.000 đ","Hành trình liên tuyến Tây Nam Bộ ghé thăm các danh thắng nổi tiếng: Chợ Nổi, Rừng tràm Tra Sù, Chùa Bà Châu Đốc.","N1: TP.HCM - Mỹ Tho - Bến Tre - Cần Thơ (Ăn T/T). N2: Chợ Nổi Cái Răng - An Giang - Rừng tràm Trà Sư - Châu Đốc (Ăn S/T/T). N3: Miếu Bà Chúa Xứ - Trở về TP.HCM (Ăn S/T).","Xe du lịch máy lạnh, KS 3 sao, thuyền/xuồng chèo các điểm, các bữa ăn tiêu chuẩn, HDV.","Chi phí cá nhân, xe đạp ngoài tour, thuế VAT, tiền tip.","can tho, ben tre, chau doc, tra su, tour 3n2d","Trẻ em <5t miễn phí; Hủy trước 3 ngày phạt 50%.","ct02-1.webp
ct02-2.jpg"
"","CT03","Cần Thơ: Trải Nghiệm Chợ Nổi Cái Răng Buổi Sáng","Tour Miền Nam","1 buổi (05:00 - 09:00)","Tàu thuyền sông nước","250.000 đ","150.000 đ","Tour trải nghiệm không gian buôn bán nhộn nhịp trên sông vào sáng sớm và thưởng thức hủ tiếu ngột ngạt ngay trên ghe.","05:00: Đón tại Bến Ninh Kiều. 05:30: Ghé Chợ Nổi Cái Răng nhộn nhịp nhất. 07:00: Ăn sáng hủ tiếu/bún riêu trên sông. 08:00: Tham quan lò hủ tiếu truyền thống. 09:00: Trở về bến.","Tàu ghe thăm chợ nổi, suất ăn sáng + nước uống trên thuyền, HDV sông nước.","Mua trái cây mang về, thuế VAT, chi phí cá nhân.","can tho, cho noi, hu tieu ghe, tour buoi sang","Trẻ em <5t miễn phí; Hủy trước 12h phạt 30%.","ct03-1.webp
ct03-2.jpg"
"","CT04","Cần Thơ: Khám Phá Vườn Quốc Gia U Minh Hạ & Cà Mau 2N1Đ","Tour Miền Nam","2 ngày 1 đêm","Xe ô tô & Cano","2.150.000 đ","1.500.000 đ","Đưa du khách về đến Đất Mũi Cà Mau - cực Nam của Tổ quốc kết hợp tham quan hệ sinh thái rừng U Minh.","N1: Cần Thơ - Sóc Trăng - Bạc Liêu - Cà Mau (Ăn T/T). N2: Đất Mũi Cà Mau - Mốc tọa độ GPS 0001 - Vườn QG U Minh - Về Cần Thơ (Ăn S/T).","Xe đưa đón, KS 3 sao, cano Đất Mũi, các bữa ăn hải sản miệt vườn, vé tham quan, HDV.","Chi phí mua quà đặc sản (cua Cà Mau/bánh phồng tôm), thuế VAT.","can tho, ca mau, dat mui, u minh ha, tour 2n1d","Trẻ em <5t miễn phí; Hủy trước 3 ngày phạt 50%.","ct04-1.jpg
ct04-2.jpg"
